ID,Type of MB,Compound abbreviation,Types of contaminants,pH,Compound Mw (g/mol),Compound charge,Compound Kow,min projection (A),max projection (A),MB MWCO (Da),MB contact angle,MB zeta potential,Total charge,Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),compound size (nm),removal rate (%),reference,MWCO ref,MB contact angle ref,MB zeta potential ref,mem_material
958,NF70,IBM,Isobutylmethylketon,7,100.161,0,1.538,3.21,4.36,350,54.1,-1,0,1500,10,1.78857,0.374,86.7,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
959,NF70,IPP,Isopropanol,7,60.096,0,0.255,2.95,3.36,350,54.1,-1,0,1500,10,1.07339,0.315,76.4,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
960,NF70,MEK,Methylethylketon,7,72.107,0,0.807,2.77,4,350,54.1,-1,0,1500,10,1.60982,0.333,54.4,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
961,NF70,MHM,Methyl3-hydroxy-2-methylacrylate,7,116.116,-0.0341,0.717,3.44,4.42,350,54.1,-1,0.0341,1500,10,1.56453,0.39,51.4,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
962,NF70,MLG,Malachite green,7,364.92,1,1.287,6.54,7.72,350,54.1,-1,-1,1500,10,6,0.711,95.1,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
963,NF70,MTN,Methanol,7,32.042,0,-0.519,2.2,2.62,350,54.1,-1,0,1500,10,0.64366,0.24,10.8,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
964,NF70,MTS,Maltose,7,342.297,0,-4.703,4.85,6.51,350,54.1,-1,0,1500,10,250,0.562,95.6,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
965,NF70,NBN,Nitrobenzene,7,123.111,0,1.913,3.4,4.36,350,54.1,-1,0,1500,10,1.92359,0.385,22.4,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
966,NF70,NTR,Neutral red,7,288.78,0.0106,2.853,4.39,7.6,350,54.1,-1,-0.0106,1500,10,30,0.578,96.3,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
967,NF70,NTR,Neutral red,11,288.78,0,2.853,4.39,7.6,350,54.1,-1,0,1500,10,30,0.578,98.8,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
968,NF70,PFOA,perfluorooctanoate,6.5,413.063,-1,5.113,3.76,6.79,350,25.3,-1,1,600,10,0.001,0.505,70.76,Nanofilltration of perfluorooctanoic acid and perfluorooctane sulfonic acid as a function of water matrix properties,Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,PA
969,NF70,PFOS,perfluorooctane sulfonate,6.5,499.12,-1,5.43,4.04,6.89,350,25.3,-1,1,600,10,0.001,0.528,42.46,Nanofiltration of perfluorooctanoic acid and perfluorooctane sulfonic acid as a function of water matrix properties,Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,PA
970,NF70,PHN,Phenol,7,94.113,0,1.67,3.4,3.96,350,54.1,-1,0,1500,10,200,0.367,47.7,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
971,NF70,PTB,Patent Blue,7,566.66,-1,-0.053,8.56,8.58,350,54.1,-1,1,1500,10,10,0.857,98.7,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
972,NF70,RFN,Raffinose,7,504.438,0,-6.3,5.73,7.53,350,54.1,-1,0,1500,10,250,0.657,99.6,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
973,NF70,TLE,Toluene,7,92.141,0,2.487,3.4,4.12,350,54.1,-1,0,1500,10,0.41138,0.374,77.6,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
974,NF70,XLS,Xylose,7,150.13,0,-2.302,4.06,4.11,350,54.1,-1,0,1500,10,250,0.408,88,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
975,NF90,14DIOX,"1,4-Dioxane",7,88,0,-0.27,2.93,3.62,118,54.1,-1,0,276,10,0.005,0.326,46,Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,Role of calcium ions on the removal of haloacetic acids from swimming pool water by nano???ltration: mechanisms and implications,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,PA
976,NF90,17AED,17alpha-Ethynilestradiol,7,296.41,0,4.33,4.44,7.2,118,54.1,-1,0,276,10,0.005,0.565,90,Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,Role of calcium ions on the removal of haloacetic acids from swimming pool water by nano???ltration: mechanisms and implications,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,PA
977,NF90,17BED,17beta-Estradiol,7,272.4,0,3.746,4.02,7.3,118,54.1,-1,0,276,10,0.005,0.542,96,Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,Role of calcium ions on the removal of haloacetic acids from swimming pool water by nano???ltration: mechanisms and implications,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,PA
978,NF90,24DBA,"2,4-Dihydroxybenzoic acid",3,154.121,-0.443,1.674,3.59,5.05,118,63.2,-1,0.443,482.633,10,1.6,0.426,29.89,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,,,PA
979,NF90,24DBA,"2,4-Dihydroxybenzoic acid",3.5,154.121,-0.7155,1.674,3.59,5.05,118,63.2,-1,0.7155,482.633,10,1.6,0.426,30.46,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,,,PA
980,NF90,24DBA,"2,4-Dihydroxybenzoic acid",4,154.121,-0.8883,1.674,3.59,5.05,118,63.2,-1,0.8883,482.633,10,1.6,0.426,65.52,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,,,PA
981,NF90,24DBA,"2,4-Dihydroxybenzoic acid",4.5,154.121,-0.9618,1.674,3.59,5.05,118,63.2,-1,0.9618,482.633,10,1.6,0.426,78.16,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,,,PA
982,NF90,24DBA,"2,4-Dihydroxybenzoic acid",5,154.121,-0.9876,1.674,3.59,5.05,118,63.2,-1,0.9876,482.633,10,1.6,0.426,92.53,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,,,PA
983,NF90,24DBA,"2,4-Dihydroxybenzoic acid",5.5,154.121,-0.9961,1.674,3.59,5.05,118,63.2,-1,0.9961,482.633,10,1.6,0.426,94.25,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,,,PA
984,NF90,24DBA,"2,4-Dihydroxybenzoic acid",6,154.121,-1,1.674,3.59,5.05,118,63.2,-1,1,482.633,10,1.6,0.426,94.83,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration,,,PA
